=== HEISENBERG'S ORGANIZED MENU ===

Main Course | Classic Cheeseburger | 800 RS | Albuquerque Diner
Dessert | Apple Pie | 280 RS | Schrader Grill
Main Course | Smoked Ribs | 1200 RS | Schrader Grill
Dessert | Blue Ice Pops | 350 RS | Pinkman Treats
Main Course | Crystal Burger | 1500 RS | Heisenberg Kitchen
Appetizer | Blue Cheese Bombs | 500 RS | Pinkman Treats
Dessert | Blue Velvet Cake | 450 RS | Heisenberg Kitchen
Main Course | Meth Glazed Chicken | 1100 RS | Pollos Fusion Lab
Appetizer | Blue Meth Fries | 600 RS | Vamonos Tacos
Appetizer | Guacamole Supreme | 300 RS | Los Pollos Hermanos
Dessert | Churros | 250 RS | Los Pollos Hermanos
Appetizer | Sloppy Nachos | 400 RS | Sauls Shady Snacks
